idx,x_m,y_m
0,-1.3750,-1.3750
1,-1.3250,-1.3250
2,-1.3250,-1.2750
3,-1.3250,-1.2250
4,-1.3250,-1.1750
5,-1.3250,-1.1250
6,-1.3250,-1.0750
7,-1.3250,-1.0250
8,-1.3250,-0.9750
9,-1.3250,-0.9250
10,-1.2750,-0.9250
11,-1.2250,-0.9250
12,-1.1750,-0.9250
13,-1.1250,-0.9250
14,-1.0750,-0.9250
15,-1.0250,-0.9250
16,-0.9750,-0.9250
17,-0.9250,-0.9250
18,-0.8750,-0.9250
19,-0.8250,-0.9250
20,-0.7750,-0.9250
21,-0.7250,-0.9250
22,-0.6750,-0.9250
23,-0.6250,-0.9750
24,-0.5750,-1.0250
25,-0.5750,-1.0750
26,-0.5250,-1.0750
27,-0.4750,-1.0750
28,-0.4250,-1.0750
29,-0.3750,-1.0750
30,-0.3250,-1.0750
31,-0.2750,-1.0750
32,-0.2250,-1.0750
33,-0.1750,-1.0750
34,-0.1250,-1.0750
35,-0.0750,-1.0750
36,-0.0250,-1.0750
37,0.0250,-1.0750
38,0.0750,-1.0750
39,0.1250,-1.0750
40,0.1750,-1.0750
41,0.2250,-1.0750
42,0.2750,-1.0750
43,0.3250,-1.0750
44,0.3750,-1.0750
45,0.4250,-1.0750
46,0.4750,-1.0750
47,0.5250,-1.0750
48,0.5750,-1.0750
49,0.6250,-1.0250
50,0.6750,-0.9750
51,0.7250,-0.9750
52,0.7750,-0.9750
53,0.8250,-0.9750
54,0.8750,-0.9750
55,0.9250,-0.9750
56,0.9750,-0.9750
57,1.0250,-0.9750
58,1.0750,-0.9750
59,1.0750,-0.9250
60,1.0750,-0.8750
61,1.0750,-0.8250
62,1.0750,-0.7750
63,1.0750,-0.7250
64,1.0750,-0.6750
65,1.0750,-0.6250
66,1.0750,-0.5750
67,1.0750,-0.5250
68,1.0750,-0.4750
69,1.0750,-0.4250
70,1.0750,-0.3750
71,1.0750,-0.3250
72,1.0750,-0.2750
73,1.0750,-0.2250
74,1.0750,-0.1750
75,1.0750,-0.1250
76,1.0750,-0.0750
77,1.0750,-0.0250
78,1.0750,0.0250
79,1.0750,0.0750
80,1.0750,0.1250
81,1.0750,0.1750
82,1.0750,0.2250
83,1.0750,0.2750
84,1.0750,0.3250
85,1.0750,0.3750
86,1.0750,0.4250
87,1.0750,0.4750
88,1.0750,0.5250
89,1.0750,0.5750
90,1.0750,0.6250
91,1.0750,0.6750
92,1.0750,0.7250
93,1.1250,0.7750
94,1.1250,0.8250
95,1.1250,0.8750
96,1.1750,0.9250
97,1.1750,0.9750
98,1.1750,1.0250
99,1.1750,1.0750
100,1.1750,1.1250
101,1.1750,1.1750
102,1.1750,1.2250
103,1.1750,1.2750
104,1.1750,1.3250
105,1.2250,1.3250
106,1.2750,1.3250
107,1.3250,1.3250
108,1.3750,1.3750
