idx,x_m,y_m
0,-0.3250,0.3750
1,-0.2750,0.3250
2,-0.2250,0.2750
3,-0.1750,0.2250
4,-0.1250,0.2250
5,-0.0750,0.2250
6,-0.0250,0.2250
7,0.0250,0.2250
8,0.0750,0.2250
9,0.0750,0.1750
10,0.0750,0.1250
11,0.0750,0.0750
12,0.0250,0.0250
13,-0.0250,-0.0250
14,-0.0750,-0.0750
15,-0.0750,-0.1250
16,-0.0750,-0.1750
17,-0.0750,-0.2250
18,-0.0250,-0.2250
19,0.0250,-0.2250
20,0.0750,-0.2250
21,0.1250,-0.2250
22,0.1750,-0.2250
23,0.2250,-0.2750
24,0.2750,-0.2750
25,0.3250,-0.2750
26,0.3750,-0.3250
