# lab: final
# world: lab2_simple.wbt
# use_preloaded_map: True
# control_source: kalman
# grid_cell_m: 0.05
# grid_inflation_m: 0.06
# explore_seconds: 60.0
# waypoint_tolerance_m: 0.04
# heading_kp: 2.5
# Ts_s: 0.032
# fs_Hz: 31.25
# safe_distance_m: 0.15
# ema_alpha: 0.25
# kalman_P0: 0.05
# kalman_Q: 0.0001
# kalman_R: 0.005
# wheel_radius_m: 0.0205
# axle_length_m: 0.0573
# robot_x0_m: -0.325
# robot_y0_m: 0.375
# robot_theta0_rad: -1.5707963267948966
# goal_x_m: 0.375
# goal_y_m: -0.325
# goal_tolerance_m: 0.05
k,time_s,Ts_s,fs_Hz,phase,state,turn_dir,turn_travelled_wheel_rad,turn_target_wheel_rad,backup_remaining,waypoint_idx,waypoints_total,x_m,y_m,theta_rad,dist_to_goal_m,enc_left_rad,enc_right_rad,d_left_rad,d_right_rad,delta_s_m,delta_theta_rad,cmd_left_vel,cmd_right_vel,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,front_left_m,front_right_m,front_raw_m,front_ema_m,front_kalman_m,front_used_m,side_left_m,side_right_m,side_left_raw,side_right_raw
1120,35.84,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07103489037268017,0.22545885746830693,0.001943638301089629,0.6288081914511471,19.76316,24.15916,0.0,0.006280000000000285,6.437000000000292e-05,0.0022467713787086537,0.07940309931230999,0.01866440240325908,64.4253472637235,65.43321082143383,68.69120095988175,65.46466227110406,69.60845040345185,68.96983321642719,65.68183800694399,68.45207913908281,0.19682473265712264,0.1970115195361066,0.19682473265712264,0.19681868547505366,0.19654914786303496,0.19654914786303496,0.1968007157443552,0.19681364058047424,68.96983321642719,68.69120095988175
1121,35.872,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07103489037268017,0.22545885746830693,0.001943638301089629,0.6288081914511471,19.76316,24.15916,0.0,0.0,0.0,0.0,0.07941470952283682,0.018676012613785913,66.7794867744492,67.73947748085284,62.36062485833315,64.5997592241279,67.82133926136943,63.030258590695226,65.63534285889129,64.63299357552621,0.19700188750504152,0.1969023187287243,0.1969023187287243,0.19683959378847132,0.19659568676625241,0.19659568676625241,0.19695539181074478,0.19685778790982375,65.63534285889129,67.73947748085284
1122,35.904,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07109926035102564,0.22545891026796164,-0.0003031330776190246,0.6287771238305235,19.76944,24.15916,0.006280000000000285,0.0,6.437000000000292e-05,-0.0022467713787086537,0.04351314193732275,0.05298605061291727,71.07177742837577,64.76611099891554,65.4607180940764,61.25752178033102,69.94401600822503,64.1681563653022,67.11230186340019,65.04774969488064,0.19698264832958318,0.19670321344936734,0.19670321344936734,0.19680549870369535,0.1965539683603562,0.1965539683603562,0.19688688052879735,0.19696349208059705,67.11230186340019,65.4607180940764
1123,35.936,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07109926035102564,0.22545891026796164,-0.0003031330776190246,0.6287771238305235,19.76944,24.15916,0.0,0.0,0.0,0.0,0.04351171524625137,0.052984623921845886,75.2399960516597,65.01873511619355,65.50839869968101,64.8409576763438,69.87475748231718,68.29438982386016,69.10883682042687,62.1294982921699,0.1971180164366425,0.19650986346440058,0.19650986346440058,0.19673158989387166,0.19654815646112073,0.19654815646112073,0.19679426782327122,0.19696128033375504,69.10883682042687,65.50839869968101
1124,35.968,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07109926035102564,0.22545891026796164,-0.0003031330776190246,0.6287771238305235,19.76944,24.15916,0.0,0.0,0.0,0.0,0.04351167502866763,0.05298458370426216,74.44128239839779,63.24678426116519,61.12581037321943,67.86514983595448,67.8734965160382,66.5610072163388,70.43439551340227,67.95238639901909,0.1968479117637174,0.19654691316999623,0.19654691316999623,0.1966854207129028,0.19654799262709324,0.19654799262709324,0.19673277950499357,0.19706618920663543,70.43439551340227,63.24678426116519
1125,36.0,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.0711636303293711,0.22545896306761634,0.001943638301089629,0.6287460612648818,19.76944,24.16544,0.0,0.006280000000000285,6.437000000000292e-05,0.0022467713787086537,0.07782495950673367,0.01708626259768276,66.01422886490766,71.44305353622597,68.14873725810146,69.6814281077189,69.47085469171157,67.5640704588737,67.85291815657338,70.26414988696327,0.1967406766409856,0.1969378165321454,0.1967406766409856,0.1966992346949235,0.1965174957832236,0.1965174957832236,0.19685252576910428,0.19668599116897392,67.85291815657338,71.44305353622597
1126,36.032000000000004,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07122800030771657,0.22545901586727105,-0.0003031330776190246,0.628715003754971,19.77572,24.16544,0.006280000000000285,0.0,6.437000000000292e-05,-0.0022467713787086537,0.04193549163193088,0.051408400307525394,65.12060577976806,65.94591565827876,67.93641488479426,70.19309765931136,63.92840543654785,69.16466883501747,67.4659900118462,64.86915975914522,0.19699093253070374,0.1969792687748643,0.1969792687748643,0.1967692432149087,0.19652245799645338,0.19652245799645338,0.19679167795931315,0.19684865262985574,69.16466883501747,67.93641488479426
1127,36.064,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07122800030771657,0.22545901586727105,-0.0003031330776190246,0.628715003754971,19.77572,24.16544,0.0,0.0,0.0,0.0,0.04194077058382059,0.05141367925941511,65.78818107719675,64.90323866936676,69.38713166995608,66.92947547078256,70.51877831408981,67.40622911473234,69.66201432107005,71.3320224418368,0.19669114153712183,0.196948302147298,0.19669114153712183,0.196749717795462,0.19654468618041818,0.19654468618041818,0.19676860773413005,0.19678135863835655,69.66201432107005,69.38713166995608
1128,36.096000000000004,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07122800030771657,0.22545901586727105,-0.0003031330776190246,0.628715003754971,19.77572,24.16544,0.0,0.0,0.0,0.0,0.04194962249685086,0.051422531172445385,68.3915574045502,69.27907487591904,68.12316046236529,60.40989779899594,69.61684166484652,66.96654494243204,63.58873820163465,65.49919911909086,0.1969617070721125,0.19682754006180067,0.19682754006180067,0.19676917336204666,0.19658195910038187,0.19658195910038187,0.19689364171409618,0.19678637103847058,66.96654494243204,69.27907487591904
1129,36.128,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07129237024222154,0.22545892404228915,-0.0025499044563276783,0.6286838246932097,19.782,24.16544,0.006280000000000285,0.0,6.437000000000292e-05,-0.0022467713787086537,0.0060472454465800496,0.08573175970682,66.68206771140855,64.5628503802701,73.85934672250434,70.96473688041353,67.35193912736209,69.53115927368626,64.65412248968849,72.56765970596567,0.19663382437887367,0.19690683767940242,0.19663382437887367,0.1967353361162534,0.1965329059424595,0.1965329059424595,0.19677467767041007,0.1965739072565245,69.53115927368626,73.85934672250434
1130,36.160000000000004,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07135674017672651,0.22545883221730725,-0.0003031330776190246,0.628652650676147,19.782,24.17172,0.0,0.006280000000000285,6.437000000000292e-05,0.0022467713787086537,0.04035409365637013,0.049827002331964645,64.0939516872586,66.27425578542412,57.05257809514154,69.1834966266751,66.16258309908052,69.60104331081163,68.11719349132426,75.74440853017796,0.19648646542462553,0.19702689188950706,0.19648646542462553,0.19667311844334645,0.19647089859044756,0.19647089859044756,0.19677143597923483,0.196925754736516,69.60104331081163,66.27425578542412
1131,36.192,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07135674017672651,0.22545883221730725,-0.0003031330776190246,0.628652650676147,19.782,24.17172,0.0,0.0,0.0,0.0,0.04035627646409831,0.04982918513969283,66.47038334806426,65.78111140573893,61.77993792337636,64.798284387747,72.00808310289361,66.01659957592025,64.94449862320462,74.52401934247386,0.19654307527464113,0.19691665702242866,0.19654307527464113,0.1966406076511701,0.196480409634666,0.196480409634666,0.19693770656264042,0.19694863008615957,66.01659957592025,65.78111140573893
1132,36.224000000000004,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07135674017672651,0.22545883221730725,-0.0003031330776190246,0.628652650676147,19.782,24.17172,0.0,0.0,0.0,0.0,0.04036336014648629,0.04983626882208081,66.24826629621387,64.24182111509059,65.95894578763082,65.8866974948738,64.80901449067548,71.77471023870726,67.48067013489205,70.82547611317835,0.19671463855920315,0.19692696030364243,0.19671463855920315,0.19665911537817837,0.19651127502677157,0.19651127502677157,0.19667060670279435,0.1969403809327027,71.77471023870726,65.95894578763082
1133,36.256,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07142111015507198,0.22545888501696196,0.001943638301089629,0.6286216083253867,19.782,24.178,0.0,0.006280000000000285,6.437000000000292e-05,0.0022467713787086537,0.07467700629038154,0.013938309381330638,71.8383017938313,68.830561579142,63.69734886832697,60.760455151891556,69.74014601119232,70.38829263634344,66.09759854044205,69.79558209204846,0.19676241196350364,0.19666765689921195,0.19666765689921195,0.19666125075843677,0.19647599448749625,0.19647599448749625,0.19673491806618526,0.1968071760986238,70.38829263634344,68.830561579142
1134,36.288000000000004,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07148548013341745,0.22545893781661666,-0.0003031330776190246,0.6285905710333556,19.78828,24.178,0.006280000000000285,0.0,6.437000000000292e-05,-0.0022467713787086537,0.03878758261615026,0.04826049129174478,64.35974101335361,61.995449304561724,67.86517176155283,72.26290805977463,71.58172918683874,65.97192541188572,57.00097472219364,66.67369065286437,0.19690722626366108,0.19701456279479074,0.19690722626366108,0.19672274463474285,0.19647693214828055,0.19647693214828055,0.19693977885052288,0.19685195736457642,65.97192541188572,67.86517176155283
1135,36.32,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07148548013341745,0.22545893781661666,-0.0003031330776190246,0.6285905710333556,19.78828,24.178,0.0,0.0,0.0,0.0,0.038799867686137246,0.048272776361731766,64.77254092875589,64.69017653871013,67.24291915899107,64.72867969934964,71.82393751890113,66.88545263844165,64.39622800512099,66.87725608231155,0.19689778353133808,0.19699541436121495,0.19689778353133808,0.19676650435889165,0.19653238961572148,0.19653238961572148,0.19689740331999417,0.19688082162104292,66.88545263844165,67.24291915899107
1136,36.352000000000004,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07148548013341745,0.22545893781661666,-0.0003031330776190246,0.6285905710333556,19.78828,24.178,0.0,0.0,0.0,0.0,0.038805359654952416,0.048278268330546936,70.69849557942662,64.79049955715094,70.7599275330457,62.297311859879905,61.75661850999007,69.92603634136506,68.16549243963634,64.21699793814719,0.19702118417767386,0.19672052876950905,0.19672052876950905,0.196755010461546,0.19655718155276997,0.19655718155276997,0.19675636061893084,0.19671767914275423,69.92603634136506,70.7599275330457
1137,36.384,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07148548013341745,0.22545893781661666,-0.0003031330776190246,0.6285905710333556,19.78828,24.178,0.0,0.0,0.0,0.0,0.03881367482716333,0.04828658350275785,66.03915075961459,70.03153433202732,66.82378111769452,67.73021724682998,72.1929469244929,68.5704663469048,64.55119450713514,68.0790644354699,0.19684203558526875,0.1969366604872249,0.19684203558526875,0.19677676674247668,0.1965947180415845,0.1965947180415845,0.1968192410630098,0.1967514669133093,68.5704663469048,70.03153433202732
1138,36.416000000000004,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07154985011176292,0.22545899061627137,0.001943638301089629,0.6285595388008027,19.78828,24.18428,0.0,0.006280000000000285,6.437000000000292e-05,0.0022467713787086537,0.07312572933655843,0.012387032427507537,65.83534578460394,66.0584665500694,62.87749533725113,67.5789390608586,67.27650111903559,71.58435237553458,64.05726195831154,71.55503304059826,0.19668079680719883,0.1969461143312806,0.19668079680719883,0.19675277425865723,0.19655017334775304,0.19655017334775304,0.19667943677945518,0.19693576449108566,71.58435237553458,66.0584665500694
1139,36.448,0.032,31.25,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,8,27,0.07161422009010839,0.22545904341592607,-0.0003031330776190246,0.6285285116284779,19.79456,24.18428,0.006280000000000285,0.0,6.437000000000292e-05,-0.0022467713787086537,0.03723489240022945,0.04670780107582397,62.89554522924477,67.57360714963585,69.18104095786069,71.22940199655461,67.06992993614675,72.15102771926516,69.58576335586399,66.30895271605579,0.19692414525975327,0.19708248203282314,0.19692414525975327,0.19679561700893122,0.1965435656203542,0.1965435656203542,0.196653150569663,0.19679091851025549,72.15102771926516,69.18104095786069
