# lab: 2
# control_source: kalman
# run_seconds: None
# Ts_s: 0.032
# fs_Hz: 31.25
# safe_distance_m: 0.18
# ema_alpha: 0.25
# kalman_P0: 0.05
# kalman_Q: 0.0001
# kalman_R: 0.005
# wheel_radius_m: 0.0205
# axle_length_m: 0.052
# turn_angle_deg: 90.0
# turn_wheel_target_rad: 1.9922294876423077
k,time_s,Ts_s,fs_Hz,state,turn_dir,turn_travelled_wheel_rad,turn_target_wheel_rad,backup_remaining,enc_left_rad,enc_right_rad,d_left_rad,d_right_rad,delta_s_m,delta_theta_rad,cmd_left_vel,cmd_right_vel,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,front_left_m,front_right_m,front_raw_m,front_ema_m,front_kalman_m,front_used_m,side_left_m,side_right_m,side_left_raw,side_right_raw
0,0.0,0.032,31.25,FORWARD,,0.0,1.9922294876423077,0,257.23508,297.13192,0.0,0.0,0.0,0.0,3.4375000000000004,3.4375000000000004,63.661986392768526,69.72902373751984,63.764686564764126,68.31835944115898,110.860269309147,1132.3131198011088,190.82838953968735,69.98390175304829,0.19675367643235372,0.19704692934213233,0.19675367643235372,0.19675367643235372,0.19675367643235372,0.19675367643235372,0.14747570977485092,0.1967654993871756,1132.3131198011088,69.72902373751984
1,0.032,0.032,31.25,FORWARD,,0.0,1.9922294876423077,0,257.34812,297.24496,0.11304000000001224,0.11304000000001224,0.002317320000000251,0.0,3.4375000000000004,3.4375000000000004,67.79212422639874,68.71471178911493,71.72911516248047,70.27284207699638,116.22035953090821,1114.3957153991353,185.76258945546667,67.0684301241127,0.19688891559482877,0.196855345800045,0.196855345800045,0.19677909377427655,0.19560150001953472,0.19560150001953472,0.14830683937357528,0.19667272170877168,1114.3957153991353,71.72911516248047
2,0.064,0.032,31.25,FORWARD,,0.0,1.9922294876423077,0,257.45488,297.35172,0.1067600000000084,0.1067600000000084,0.0021885800000001725,0.0,3.4375000000000004,3.4375000000000004,69.65102445933502,66.59716278911816,62.72145560694713,66.81719804950698,119.06868737270354,1044.9206652528726,175.31899234405276,65.04791981242943,0.19698264043838828,0.19676911751775547,0.19676911751775547,0.19677659971014627,0.19453413401179456,0.19453413401179456,0.1515295589848521,0.19691077614015323,1044.9206652528726,66.59716278911816
3,0.096,0.032,31.25,FORWARD,,0.0,1.9922294876423077,0,257.56792,297.46476,0.11304000000001224,0.11304000000001224,0.002317320000000251,0.0,3.4375000000000004,3.4375000000000004,62.822918280007435,67.04181261225409,64.97159379863234,67.4289619275618,113.22123031418704,945.5529395185878,175.07341182056965,70.8050159716955,0.1967155876380317,0.19708585095869108,0.1967155876380317,0.19676134669211764,0.19339318582440196,0.19339318582440196,0.15613890173131553,0.19689015029386517,945.5529395185878,67.04181261225409
4,0.128,0.032,31.25,FORWARD,,0.0,1.9922294876423077,0,257.67468,297.57152,0.1067600000000084,0.1067600000000084,0.0021885800000001725,0.0,3.4375000000000004,3.4375000000000004,72.76020843703861,68.85290062479334,63.73115423201242,66.48059923421282,116.27476858084265,867.9530389286483,178.2354326172749,64.9405119371097,0.19698762273729228,0.19662489267503971,0.19662489267503971,0.19672723318784816,0.19239520800664003,0.19239520800664003,0.159738506495009,0.19680613986359602,867.9530389286483,68.85290062479334
5,0.16,0.032,31.25,FORWARD,,0.0,1.9922294876423077,0,257.78772,297.68456,0.1130399999999554,0.1130399999999554,0.0023173199999990857,0.0,3.4375000000000004,3.4375000000000004,66.83767316804558,60.77796243616181,57.39907490458216,68.63013710310624,104.55231387516402,864.4018148501622,169.39371969937133,59.88680879021298,0.1972220474438134,0.19689961965284947,0.19689961965284947,0.19677032980409848,0.1913966995389376,0.1913966995389376,0.15990323612755597,0.1971807097502757,864.4018148501622,60.77796243616181
6,0.192,0.032,31.25,FORWARD,,0.0,1.9922294876423077,0,257.89448,297.79132,0.1067600000000084,0.1067600000000084,0.0021885800000001725,0.0,3.4375000000000004,3.4375000000000004,67.05578931199047,72.75844863056024,71.89432167303846,65.89048608150355,106.19162493367125,781.0916283479049,160.53305178507776,64.9923054327153,0.19698522020697853,0.19688950196062546,0.19688950196062546,0.19680012284323023,0.19055864899152586,0.19055864899152586,0.16376772231784623,0.19662497430668788,781.0916283479049,72.75844863056024
7,0.224,0.032,31.25,FORWARD,,0.0,1.9922294876423077,0,258.00752,297.90436,0.11304000000001224,0.11304000000001224,0.002317320000000251,0.0,3.4375000000000004,3.4375000000000004,71.16212433205023,66.8273302930709,67.12673896939106,66.32599338023135,113.01793450229876,625.4098862516076,153.39141525863002,72.53495022642717,0.1966353416643015,0.19669902255295668,0.1966353416643015,0.19675892754849805,0.18961587141623673,0.18961587141623673,0.1709892875029772,0.19688621083882218,625.4098862516076,67.12673896939106
8,0.256,0.032,31.25,FORWARD,,0.0,1.9922294876423077,0,258.11428,298.01112,0.1067600000000084,0.1067600000000084,0.0021885800000001725,0.0,3.4375000000000004,3.4375000000000004,70.14256897284444,69.06712798467719,61.35353119302679,69.8331272980764,109.22646785671222,647.958724752848,160.24478893696084,68.78820378143172,0.19680914093787305,0.1967463163806542,0.1967463163806542,0.1967557747565371,0.188873874112732,0.188873874112732,0.16994332087328098,0.19679620255930455,647.958724752848,69.06712798467719
9,0.28800000000000003,0.032,31.25,FORWARD,,0.0,1.9922294876423077,0,258.22732,298.12416,0.11304000000001224,0.11304000000001224,0.002317320000000251,0.0,3.4375000000000004,3.4375000000000004,63.284387955928416,63.42266960946911,74.12034531958615,68.4568694730388,110.61618725600579,634.2662768912677,153.82450229052148,63.746205481911275,0.1970430226949309,0.1970644448946225,0.1970430226949309,0.19682758674113554,0.18812010741446933,0.18812010741446933,0.17057846860123516,0.1965618003880075,634.2662768912677,74.12034531958615
